S.no,R_cm,L_cm,Sex,Handedness,Age
202,23.3,23.5,M,Right,57
203,19,19.1,F,Right,58
204,23,23.9,M,Right,20
205,19.6,19.8,F,Right,20
206,21.5,21.4,F,Right,18
207,21.9,22,M,Right,36
208,22.6,24,M,Right,66
209,22.2,22.2,F,Right,77
210,19,19.8,F,Right,22
211,18.2,18.4,F,Right,20
212,19.9,20.4,F,Right,22
213,21,21,F,Right,27
214,19.2,19.9,F,Ambidextrous,22
215,19.4,17.5,F,Right,22
216,19,19.2,F,Right,27
217,21,22.1,F,Right,52
218,22.1,22.4,F,Right,25
219,19.6,19.2,F,Right,22
220,20,18.3,F,Right,23
221,19.5,20.2,F,Right,23
222,23,22.8,F,Right,21
223,20.2,20.8,F,Right,22
224,19.5,19,F,Right,21
225,23.4,24.5,M,Right,22
226,21,20.9,F,Right,29
227,20.4,19.9,F,Right,27
228,22.4,22.4,M,Ambidextrous,31
229,20.8,21.3,F,Right,30
230,21.5,20.7,F,Right,25
231,22.7,23.4,F,Right,28
232,21.3,21.8,M,Right,36
233,22.3,22.4,M,Right,35
234,24.4,25,M,Right,31
235,23,23.8,M,Right,27
236,22.9,23.5,M,Right,37
237,22.9,24,M,Right,37
238,23.3,25.3,M,Right,29
239,19.8,21.4,F,Right,33
240,19.9,20.5,F,Right,23
241,21,21,F,Right,24
242,20,21,M,Right,24
243,18,19,F,Right,24
244,20,21,M,Right,24
245,24,23,M,Right,23
246,20,19,F,Right,24
247,19,19,F,Right,25
248,24,24,M,Right,24
249,20,19,F,Right,24
250,22,22,M,Right,24
251,21,21,M,Right,24
252,20,19,F,Right,24
253,22,21,M,Right,24
254,22,21,M,Right,24
255,20,21,M,left,24
256,19.3,19.2,F,Right,26
257,23.6,23.2,M,Right,25
258,18.1,17.5,F,Right,23
259,21.7,21.5,M,Right,30
260,22.2,22.1,M,Right,28
261,21.1,21.5,F,Right,24
262,23.5,24,M,Right,20
263,20.6,20.3,F,Right,26
264,22.8,22.6,M,Right,27
265,22.5,22,M,Right,21
266,21.1,20.5,F,Right,28
267,22.5,22.7,M,Right,28
268,20.6,20.5,F,Right,23
269,19.9,20.3,F,Right,26
270,24.1,24.2,M,Right,32
271,21.6,22.3,M,Right,35
272,24.5,24.5,M,Right,40
273,23.5,23.5,M,Right,53
274,22.4,22.5,F,Right,31
